No.,Optimizer,Epsilon,Iterations,Function calls,x_min,f(x_min),Status,Comment
1,Brent (SciPy),0.1,5,8,1.9999999999999996,1.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.1 )"
2,Brent (SciPy),0.01,5,8,1.9999999999999996,1.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.01 )"
3,Brent (SciPy),0.001,5,8,1.9999999999999996,1.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.001 )"
4,Brent (SciPy),0.0001,5,8,1.9999999999999996,1.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.0001 )"
5,Brent (SciPy),1e-05,5,8,1.9999999999999996,1.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-05 )"
6,Brent (SciPy),1e-06,5,8,1.9999999999999996,1.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-06 )"
7,Brent (SciPy),1e-07,5,8,1.9999999999999996,1.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-07 )"
8,Brent (SciPy),1e-08,5,8,1.9999999999999996,1.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-08 )"
9,Dichotomy,0.1,8,16,2.027578125,1.0007605529785155,success,Dichotomy search converged successfully.
10,Dichotomy,0.01,11,22,2.0037392578125,1.0000139820489884,success,Dichotomy search converged successfully.
11,Dichotomy,0.001,15,30,2.0000688171386725,1.0000000047357986,success,Dichotomy search converged successfully.
12,Dichotomy,0.0001,18,36,2.0000114595794676,1.000000000131322,success,Dichotomy search converged successfully.
13,Dichotomy,1e-05,21,42,2.000001718165399,1.000000000002952,success,Dichotomy search converged successfully.
14,Dichotomy,1e-06,25,50,2.0000000261096407,1.0000000000000007,success,Dichotomy search converged successfully.
15,Dichotomy,1e-07,28,56,2.000000001120848,1.0,success,Dichotomy search converged successfully.
16,Dichotomy,1e-08,31,62,2.0000000500798834,1.0000000000000024,success,Dichotomy search converged successfully.
17,Fibonacci,0.1,10,12,1.9722222222222223,1.0007716049382716,success,Fibonacci search converged successfully.
18,Fibonacci,0.01,15,17,2.0037570444583586,1.0000141153830622,success,Fibonacci search converged successfully.
19,Fibonacci,0.001,20,22,2.000338772514257,1.0000001147668165,success,Fibonacci search converged successfully.
20,Fibonacci,0.0001,25,27,2.000010182366178,1.0000000001036806,success,Fibonacci search converged successfully.
21,Fibonacci,1e-05,30,32,1.999999999999999,1.0,success,Fibonacci search converged successfully.
22,Fibonacci,1e-06,34,36,2.00000026791063,1.0000000000000717,success,Fibonacci search converged successfully.
23,Fibonacci,1e-07,39,41,2.000000016039371,1.0000000000000002,success,Fibonacci search converged successfully.
24,Fibonacci,1e-08,44,46,2.000000009168548,1.0,success,Fibonacci search converged successfully.
25,Golden Section,0.1,11,13,2.0129825472247127,1.000168546532442,success,Golden Section search converged successfully.
26,Golden Section,0.01,16,18,2.000295639318738,1.0000000874026067,success,Golden Section search converged successfully.
27,Golden Section,0.001,20,22,1.9999421307459295,1.0000000033488505,success,Golden Section search converged successfully.
28,Golden Section,0.0001,25,27,1.9999937069516163,1.0000000000396025,success,Golden Section search converged successfully.
29,Golden Section,1e-05,30,32,2.0000012318186142,1.0000000000015175,success,Golden Section search converged successfully.
30,Golden Section,1e-06,35,37,1.9999998747849463,1.0000000000000158,success,Golden Section search converged successfully.
31,Golden Section,1e-07,39,41,1.9999999971485958,1.0,success,Golden Section search converged successfully.
32,Golden Section,1e-08,44,46,2.000000008182119,1.0,success,Golden Section search converged successfully.
33,Parabola,0.1,3,5,2.0,1.0,success,Parabola search converged successfully.
34,Parabola,0.01,3,5,2.0,1.0,success,Parabola search converged successfully.
35,Parabola,0.001,3,5,2.0,1.0,success,Parabola search converged successfully.
36,Parabola,0.0001,3,5,2.0,1.0,success,Parabola search converged successfully.
37,Parabola,1e-05,3,5,2.0,1.0,success,Parabola search converged successfully.
38,Parabola,1e-06,3,5,2.0,1.0,success,Parabola search converged successfully.
39,Parabola,1e-07,3,5,2.0,1.0,success,Parabola search converged successfully.
40,Parabola,1e-08,3,5,2.0,1.0,success,Parabola search converged successfully.
41,Passive search,0.1,280,281,2.0,1.0,success,"Grid scan finished. h = 5.000e-02, localization width <= 1.000e-01."
42,Passive search,0.01,2800,2801,2.0,1.0,success,"Grid scan finished. h = 5.000e-03, localization width <= 1.000e-02."
43,Passive search,0.001,28000,28001,2.0,1.0,success,"Grid scan finished. h = 5.000e-04, localization width <= 1.000e-03."
44,Passive search,0.0001,280000,280001,2.0,1.0,success,"Grid scan finished. h = 5.000e-05, localization width <= 1.000e-04."
