No.,Optimizer,Epsilon,Iterations,Function calls,x_min,f(x_min),Status,Comment
1,Brent (SciPy),0.1,8,11,1.675292257616734,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.1 )"
2,Brent (SciPy),0.01,12,15,1.3374535393173188,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.01 )"
3,Brent (SciPy),0.001,17,20,1.3035502553393226,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.001 )"
4,Brent (SciPy),0.0001,22,25,1.3003289204746737,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.0001 )"
5,Brent (SciPy),1e-05,27,30,1.3000296683912473,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-05 )"
6,Brent (SciPy),1e-06,32,35,1.3000026752854348,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-06 )"
7,Brent (SciPy),1e-07,36,39,1.300000371241199,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-07 )"
8,Brent (SciPy),1e-08,41,44,1.3000000347618086,0.0,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-08 )"
9,Dichotomy,0.1,7,14,1.6982812499999997,0.0,success,Dichotomy search converged successfully.
10,Dichotomy,0.01,10,20,1.6963886718749999,0.0,success,Dichotomy search converged successfully.
11,Dichotomy,0.001,14,28,1.6998145385742192,0.0,success,Dichotomy search converged successfully.
12,Dichotomy,0.0001,17,34,1.7000229570007326,0.05,success,Dichotomy search converged successfully.
13,Dichotomy,1e-05,20,40,1.700125722917557,0.05000000000000005,success,Dichotomy search converged successfully.
14,Dichotomy,1e-06,24,48,1.7002330901296736,0.05000000000000059,success,Dichotomy search converged successfully.
15,Dichotomy,1e-07,27,54,1.7006839025215141,0.05000000000004375,success,Dichotomy search converged successfully.
16,Dichotomy,1e-08,30,60,1.701438940136137,0.050000000000857435,success,Dichotomy search converged successfully.
17,Fibonacci,0.1,9,11,1.685393258426966,0.0,success,Fibonacci search converged successfully.
18,Fibonacci,0.01,14,16,1.6960486322188446,0.0,success,Fibonacci search converged successfully.
19,Fibonacci,0.001,19,21,1.69961629819112,0.0,success,Fibonacci search converged successfully.
20,Fibonacci,0.0001,24,26,1.6999827008147097,0.0,success,Fibonacci search converged successfully.
21,Fibonacci,1e-05,28,30,1.6999951925388201,0.0,success,Fibonacci search converged successfully.
22,Fibonacci,1e-06,33,35,1.6999995123254328,0.0,success,Fibonacci search converged successfully.
23,Fibonacci,1e-07,38,40,1.6999999953421372,0.0,success,Fibonacci search converged successfully.
24,Fibonacci,1e-08,43,45,1.699999999118868,0.0,success,Fibonacci search converged successfully.
25,Golden Section,0.1,10,12,1.6871977298292338,0.0,success,Golden Section search converged successfully.
26,Golden Section,0.01,14,16,1.6989279288029522,0.0,success,Golden Section search converged successfully.
27,Golden Section,0.001,19,21,1.6999856401845828,0.0,success,Golden Section search converged successfully.
28,Golden Section,0.0001,24,26,1.6999856401845828,0.0,success,Golden Section search converged successfully.
29,Golden Section,1e-05,29,31,1.699999555030941,0.0,success,Golden Section search converged successfully.
30,Golden Section,1e-06,34,36,1.6999999427548462,0.0,success,Golden Section search converged successfully.
31,Golden Section,1e-07,38,40,1.6999999993230015,0.0,success,Golden Section search converged successfully.
32,Golden Section,1e-08,43,45,1.6999999993230015,0.0,success,Golden Section search converged successfully.
33,Parabola,0.1,41,43,1.5142487193843241,0.0,success,Parabola search converged successfully.
34,Parabola,0.01,41,43,1.5142487193843241,0.0,success,Parabola search converged successfully.
35,Parabola,0.001,41,43,1.5142487193843241,0.0,success,Parabola search converged successfully.
36,Parabola,0.0001,41,43,1.5142487193843241,0.0,success,Parabola search converged successfully.
37,Parabola,1e-05,41,43,1.5142487193843241,0.0,success,Parabola search converged successfully.
38,Parabola,1e-06,41,43,1.5142487193843241,0.0,success,Parabola search converged successfully.
39,Parabola,1e-07,41,43,1.5142487193843241,0.0,success,Parabola search converged successfully.
40,Parabola,1e-08,41,43,1.5142487193843241,0.0,success,Parabola search converged successfully.
41,Passive search,0.1,160,161,1.3000000000000003,0.0,success,"Grid scan finished. h = 5.000e-02, localization width <= 1.000e-01."
42,Passive search,0.01,1600,1601,1.3000000000000003,0.0,success,"Grid scan finished. h = 5.000e-03, localization width <= 1.000e-02."
43,Passive search,0.001,16000,16001,1.3000000000000003,0.0,success,"Grid scan finished. h = 5.000e-04, localization width <= 1.000e-03."
44,Passive search,0.0001,160000,160001,1.3000000000000003,0.0,success,"Grid scan finished. h = 5.000e-05, localization width <= 1.000e-04."
