No.,Optimizer,Epsilon,Iterations,Function calls,x_min,f(x_min),Status,Comment
1,Brent (SciPy),0.1,9,12,0.6473748631728402,0.5799943943455048,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.1 )"
2,Brent (SciPy),0.01,10,13,0.6241985161990818,0.5794604087727553,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.01 )"
3,Brent (SciPy),0.001,11,14,0.6268381951336499,0.5794510165269809,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.001 )"
4,Brent (SciPy),0.0001,12,15,0.6268381951336499,0.5794510165269809,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 0.0001 )"
5,Brent (SciPy),1e-05,13,16,0.626863916741757,0.5794510157756984,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-05 )"
6,Brent (SciPy),1e-06,14,17,0.6268621345610722,0.5794510157714351,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-06 )"
7,Brent (SciPy),1e-07,14,17,0.6268621345610722,0.5794510157714351,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-07 )"
8,Brent (SciPy),1e-08,22,25,0.6268621195410271,0.5794510157714349,success,"
Optimization terminated successfully;
The returned value satisfies the termination criteria
(using xtol = 1e-08 )"
9,Dichotomy,0.1,6,12,0.6296875,0.5794615199272433,success,Dichotomy search converged successfully.
10,Dichotomy,0.01,9,18,0.6239648437499999,0.579462132053894,success,Dichotomy search converged successfully.
11,Dichotomy,0.001,12,24,0.6268005371093749,0.5794510207776633,success,Dichotomy search converged successfully.
12,Dichotomy,0.0001,16,32,0.6268554678344724,0.5794510158298379,success,Dichotomy search converged successfully.
13,Dichotomy,1e-05,19,38,0.6268623950386046,0.579451015771535,success,Dichotomy search converged successfully.
14,Dichotomy,1e-06,22,44,0.6268626559010028,0.5794510157718147,success,Dichotomy search converged successfully.
15,Dichotomy,1e-07,26,52,0.6268621029605197,0.5794510157714353,success,Dichotomy search converged successfully.
16,Dichotomy,1e-08,29,58,0.6268621226613692,0.5794510157714349,success,Dichotomy search converged successfully.
17,Fibonacci,0.1,7,9,0.6423529411764706,0.5797625160811541,success,Fibonacci search converged successfully.
18,Fibonacci,0.01,12,14,0.6283209549071617,0.5794538204011357,success,Fibonacci search converged successfully.
19,Fibonacci,0.001,17,19,0.6266443434585027,0.5794510783885667,success,Fibonacci search converged successfully.
20,Fibonacci,0.0001,22,24,0.6268762939958592,0.579451016036635,success,Fibonacci search converged successfully.
21,Fibonacci,1e-05,26,28,0.6268631356372185,0.5794510157727978,success,Fibonacci search converged successfully.
22,Fibonacci,1e-06,31,33,0.6268619959609347,0.5794510157714551,success,Fibonacci search converged successfully.
23,Fibonacci,1e-07,36,38,0.626862130351557,0.579451015771435,success,Fibonacci search converged successfully.
24,Fibonacci,1e-08,41,43,0.6268621228004362,0.5794510157714349,success,Fibonacci search converged successfully.
25,Golden Section,0.1,8,10,0.6230589874905365,0.5794701895713413,success,Golden Section search converged successfully.
26,Golden Section,0.01,12,14,0.626617711359463,0.5794510946424092,success,Golden Section search converged successfully.
27,Golden Section,0.001,17,19,0.626938601290544,0.5794510234919453,success,Golden Section search converged successfully.
28,Golden Section,0.0001,22,24,0.6268628494535137,0.5794510157721382,success,Golden Section search converged successfully.
29,Golden Section,1e-05,27,29,0.6268628494535137,0.5794510157721382,success,Golden Section search converged successfully.
30,Golden Section,1e-06,31,33,0.6268622335442068,0.5794510157714521,success,Golden Section search converged successfully.
31,Golden Section,1e-07,36,38,0.6268621224711916,0.5794510157714349,success,Golden Section search converged successfully.
32,Golden Section,1e-08,41,43,0.6268621224711916,0.5794510157714349,success,Golden Section search converged successfully.
33,Parabola,0.1,20,23,0.6268621238009394,0.5794510157714349,success,Parabola search converged successfully.
34,Parabola,0.01,20,23,0.6268621238009394,0.5794510157714349,success,Parabola search converged successfully.
35,Parabola,0.001,20,23,0.6268621238009394,0.5794510157714349,success,Parabola search converged successfully.
36,Parabola,0.0001,20,23,0.6268621238009394,0.5794510157714349,success,Parabola search converged successfully.
37,Parabola,1e-05,20,23,0.6268621238009394,0.5794510157714349,success,Parabola search converged successfully.
38,Parabola,1e-06,20,23,0.6268621238009394,0.5794510157714349,success,Parabola search converged successfully.
39,Parabola,1e-07,20,23,0.6268621238009394,0.5794510157714349,success,Parabola search converged successfully.
40,Parabola,1e-08,21,23,0.6268621238009394,0.5794510157714349,success,Parabola search converged successfully.
41,Passive search,0.1,60,61,0.6500000000000001,0.5801405269541273,success,"Grid scan finished. h = 5.000e-02, localization width <= 1.000e-01."
42,Passive search,0.01,600,601,0.625,0.5794556023431495,success,"Grid scan finished. h = 5.000e-03, localization width <= 1.000e-02."
43,Passive search,0.001,6000,6001,0.627,0.579451040861746,success,"Grid scan finished. h = 5.000e-04, localization width <= 1.000e-03."
44,Passive search,0.0001,60000,60001,0.6268500000000001,0.5794510159653202,success,"Grid scan finished. h = 5.000e-05, localization width <= 1.000e-04."
45,Passive search,1e-05,600000,600001,0.6268600000000002,0.5794510157773648,success,"Grid scan finished. h = 5.000e-06, localization width <= 1.000e-05."
